split,dataset,clf,fold_idx,model_name,Accuracy,Entropy,Balanced Accuracy,Precision,Recall,F1-Score,AUC
Test,chexpert,MLP,0,full_run_100e_ft25,0.546875,-0.09678695350885391,0.544990912296883,0.660377358490566,0.18324607329842932,0.28688524590163933,0.6138404362097496
Test,chexpert,SPN,0,full_run_100e_ft25,0.7317708333333334,1.3023406267166138,0.7313702086102596,0.7716049382716049,0.6544502617801047,0.7082152974504249,0.8132816102867373
Train,chexpert,MLP,0,full_run_100e_ft25,0.5798611111111112,-0.09435013681650162,0.567640001810856,0.6898395721925134,0.23243243243243245,0.3477088948787062,0.6510269063032882
Train,chexpert,SPN,0,full_run_100e_ft25,0.9878472222222222,0.045052479952573776,0.9873873873873874,1.0,0.9747747747747748,0.9872262773722628,0.9996619735313202
Test,chexpert,MLP,1,full_run_100e_ft25,0.625,0.21402524411678314,0.6252339744459214,0.6124401913875598,0.6701570680628273,0.64,0.7254157285082604
Test,chexpert,SPN,1,full_run_100e_ft25,0.7239583333333334,1.8737329244613647,0.7234082955809348,0.7814569536423841,0.6178010471204188,0.6900584795321637,0.8344139109676368
Train,chexpert,MLP,1,full_run_100e_ft25,0.7074652777777778,0.18233495950698853,0.7063838510515146,0.6846038863976084,0.7842465753424658,0.7310454908220272,0.8034318927262203
Train,chexpert,SPN,1,full_run_100e_ft25,0.9861111111111112,0.04372858256101608,0.9862772525564345,0.9982456140350877,0.9743150684931506,0.9861351819757366,0.9998914721203936
Test,chexpert,MLP,2,full_run_100e_ft25,0.5026041666666666,0.09662050753831863,0.5012478637115807,0.5,0.24083769633507854,0.3250883392226148,0.6221414426389604
Test,chexpert,SPN,2,full_run_100e_ft25,0.7552083333333334,1.2086273431777954,0.755500094946152,0.7276995305164319,0.8115183246073299,0.7673267326732673,0.8181916827170875
Train,chexpert,MLP,2,full_run_100e_ft25,0.5798611111111112,0.07275978475809097,0.5872576678786415,0.6728971962616822,0.3630252100840336,0.47161572052401746,0.7460646017832626
Train,chexpert,SPN,2,full_run_100e_ft25,0.9869791666666666,0.038686346262693405,0.9865923389104295,0.9769736842105263,0.9983193277310924,0.9875311720698254,0.9998114146915499
